id,name,purpose,precondition,execution_type,steps,project_id,user_story_id,priority,reused_id,active,migrate_id
1,Cadastrar Entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,1
2,Cancelar cadastro de Entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,2
3,Cadastrar Entidade com ID existente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,3
4,Cadastrar Entidade sem campos obrigatórios preenchidos,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,4
5,Cadastrar usuários com diferentes papéis,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,5
6,Editar informações da entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,6
7,Editar entidade alterando o ID para um existente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,7
8,Editar entidade deixando os campos obrigatórios do formulário em branco,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,8
9,Inativar usuários com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,9
10,Cancelar edição da entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,10
11,Verificar acessibilidade às páginas,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,11
12,Excluir Entidade com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,12
13,Acessar tela sem estar autenticado na aplicação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,13
14,Acessar tela com usuário não cadastrado,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,14
15,Listar todas as Entidades com sucesso,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,15
16,Verificar presença de campos retornados,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,16
17,Validar resultado da consulta de Entidade sem dados,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,17
18,Tentar acessar tela após time out,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,18
19,Verificar paginação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,19
20,Verificar acesso por papéis,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,20
21,Validar resultado da consulta (filtro) de Entidade,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,21
22,Verificar se todos os dados da entidade estão sendo exibidos,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,22
23,Verificar inserção de link de entidade inexistente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,23
24,Realizar ação com usuário inativo,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,24
25,O campo senha deve seguir regra,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,25
26,Fechar a tela antes de excutar ação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,26
27,Cancelar exclusão da entidade,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,27
28,Fazer primeiro login do usuário,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,28
29,Cadastrar Entidade com o ID de um previamente excluído,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,29
30,Recuprar senha com sucesso.,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,30
31,Tentar autenticar sem preencher username,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,31
32,Tentar autenticar com usuário não cadastrado,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,32
33,Tentar autenticar com usuário inativo,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,33
34,Verificar comportamento do campo,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,34
35,Validar logout da aplicação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,35
36,Fechar browser e abrir aplicação novamente,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,36
37,Validar ação sem conexão com servidor,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,37
38,Verificar cadastro de mais de um administrador,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,38
39,Verificar campos senha e confirmação,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,39
40,Fazer login com usuário e senha válidos,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,40
41,Verificar internacionalização,Imported from sheet,Imported from sheet,M,Imported from sheet,1,1,M,,True,41
